Id;First Name;Last Name;Phone;Department;E-mail
16;GÜLDEHEN;SÖNMEZ;(556) 130 05 06;PROJECT MANAGEMENT;GÜLDEHEN.SÖNMEZ16@gmail.com
23;KAMIL;ÖZDEMIR;(553) 130 05 03;PROJECT MANAGEMENT;KAMIL.ÖZDEMIR23@gmail.com
26;KUBILAY;ERKURAN;(556) 130 05 06;PROJECT MANAGEMENT;KUBILAY.ERKURAN26@gmail.com
45;GÜLSAH;AKPINAR;(555) 130 05 05;PROJECT MANAGEMENT;GÜLSAH.AKPINAR45@gmail.com
51;BIRSEN;KULAÇ;(551) 130 05 01;PROJECT MANAGEMENT;BIRSEN.KULAÇ51@gmail.com
53;ERGÜN;YIGIT;(553) 130 05 03;PROJECT MANAGEMENT;ERGÜN.YIGIT53@gmail.com
78;BURCU;DOGAN;(558) 130 05 08;PROJECT MANAGEMENT;BURCU.DOGAN78@gmail.com
80;ORHAN;KULAKSIZ;(550) 130 05 00;PROJECT MANAGEMENT;ORHAN.KULAKSIZ80@gmail.com
15;SENAY;ULUÖZ;(555) 130 05 05;IT OPERATIONS;SENAY.ULUÖZ15@gmail.com
28;PINAR;ÖZTÜRK;(558) 130 05 08;IT OPERATIONS;PINAR.ÖZTÜRK28@gmail.com
33;JALE;AKSEL;(553) 130 05 03;IT OPERATIONS;JALE.AKSEL33@gmail.com
41;YASER;ÖZTÜRK;(551) 130 05 01;IT OPERATIONS;YASER.ÖZTÜRK41@gmail.com
55;BAHATTIN;HALHALLI;(555) 130 05 05;IT OPERATIONS;BAHATTIN.HALHALLI55@gmail.com
56;OKTAY
;AKPINAR;(556) 130 05 06;IT OPERATIONS;OKTAY
.AKPINAR56@gmail.com
61;YASER;YARBIL;(551) 130 05 01;IT OPERATIONS;YASER.YARBIL61@gmail.com
62;SERDAL;KAYA;(552) 130 05 02;IT OPERATIONS;SERDAL.KAYA62@gmail.com
66;ERGÜN;ERDEM;(556) 130 05 06;IT OPERATIONS;ERGÜN.ERDEM66@gmail.com
71;GÜLÇIN;VURAL;(551) 130 05 01;IT OPERATIONS;GÜLÇIN.VURAL71@gmail.com
72;GÜLÇIN;ERKURAN;(552) 130 05 02;IT OPERATIONS;GÜLÇIN.ERKURAN72@gmail.com
74;HAYATI;ÖZER;(554) 130 05 04;IT OPERATIONS;HAYATI.ÖZER74@gmail.com
2;TARKAN;SARAÇOGLU;(552) 130 05 02;DATA AND ANALYTICS;TARKAN.SARAÇOGLU2@gmail.com
17;BAHATTIN;ÖZDEMIR;(557) 130 05 07;DATA AND ANALYTICS;BAHATTIN.ÖZDEMIR17@gmail.com
18;BURCU;SARAÇOGLU;(558) 130 05 08;DATA AND ANALYTICS;BURCU.SARAÇOGLU18@gmail.com
24;DILEK;SEN;(554) 130 05 04;DATA AND ANALYTICS;DILEK.SEN24@gmail.com
29;TARKAN;TAHTACI;(559) 130 05 09;DATA AND ANALYTICS;TARKAN.TAHTACI29@gmail.com
44;UMUT;KILIÇ;(554) 130 05 04;DATA AND ANALYTICS;UMUT.KILIÇ44@gmail.com
48;ORHAN;DEDE;(558) 130 05 08;DATA AND ANALYTICS;ORHAN.DEDE48@gmail.com
63;SENAY;ASLAN;(553) 130 05 03;DATA AND ANALYTICS;SENAY.ASLAN63@gmail.com
65;HAYATI;EROGLU;(555) 130 05 05;DATA AND ANALYTICS;HAYATI.EROGLU65@gmail.com
76;URAL;TÜTEN;(556) 130 05 06;DATA AND ANALYTICS;URAL.TÜTEN76@gmail.com
3;MEHMET;AKBULUT;(553) 130 05 03;CYBERSECURITY;MEHMET.AKBULUT3@gmail.com
4;HAYATI;ALMACIOGLU;(554) 130 05 04;CYBERSECURITY;HAYATI.ALMACIOGLU4@gmail.com
8;GAMZE;ÇILDIR;(558) 130 05 08;CYBERSECURITY;GAMZE.ÇILDIR8@gmail.com
9;FULYA;CANACANKATAN;(559) 130 05 09;CYBERSECURITY;FULYA.CANACANKATAN9@gmail.com
19;SERKAN;KAYA;(559) 130 05 09;CYBERSECURITY;SERKAN.KAYA19@gmail.com
35;GÖKHAN;MURT;(555) 130 05 05;CYBERSECURITY;GÖKHAN.MURT35@gmail.com
37;NALAN;SELIMAN;(557) 130 05 07;CYBERSECURITY;NALAN.SELIMAN37@gmail.com
39;MEDIHA;TÜRKDOGAN;(559) 130 05 09;CYBERSECURITY;MEDIHA.TÜRKDOGAN39@gmail.com
47;REYHAN;KILIÇ;(557) 130 05 07;CYBERSECURITY;REYHAN.KILIÇ47@gmail.com
64;BÜNYAMIN;KÜFECILER;(554) 130 05 04;CYBERSECURITY;BÜNYAMIN.KÜFECILER64@gmail.com
77;NAGIHAN;SENTÜRK;(557) 130 05 07;CYBERSECURITY;NAGIHAN.SENTÜRK77@gmail.com
10;URAL;HALHALLI;(550) 130 05 00;BUSINESS ANALYSIS;URAL.HALHALLI10@gmail.com
12;IRAZCA;YÜCEL;(552) 130 05 02;BUSINESS ANALYSIS;IRAZCA.YÜCEL12@gmail.com
13;PINAR;ÖZTÜRK;(553) 130 05 03;BUSINESS ANALYSIS;PINAR.ÖZTÜRK13@gmail.com
25;UMUT;SEN;(555) 130 05 05;BUSINESS ANALYSIS;UMUT.SEN25@gmail.com
27;ZEYNEP;ULUÖZ;(557) 130 05 07;BUSINESS ANALYSIS;ZEYNEP.ULUÖZ27@gmail.com
40;SENAY;AKBULUT;(550) 130 05 00;BUSINESS ANALYSIS;SENAY.AKBULUT40@gmail.com
57;MEDIHA;GIRAY;(557) 130 05 07;BUSINESS ANALYSIS;MEDIHA.GIRAY57@gmail.com
59;SENAY;ABACIOGLU;(559) 130 05 09;BUSINESS ANALYSIS;SENAY.ABACIOGLU59@gmail.com
60;NEBI;YILMAZ;(550) 130 05 00;BUSINESS ANALYSIS;NEBI.YILMAZ60@gmail.com
68;CEREN;ORHON;(558) 130 05 08;BUSINESS ANALYSIS;CEREN.ORHON68@gmail.com
73;MUSTAFA;TÜRKDOGAN;(553) 130 05 03;BUSINESS ANALYSIS;MUSTAFA.TÜRKDOGAN73@gmail.com
